z,0:June:2020,4:June:2021
-3.0,15.654999732971191,14.069000244140623
-6.0,15.654999732971191,14.069000244140623
-9.0,15.654999732971191,14.069000244140623
-12.0,15.654999732971191,14.068902202314334
-15.0,15.526555585154794,14.065960958745558
-18.0,15.308860161819393,14.020875168939437
-21.0,15.106659653701715,13.89150028665863
-24.0,14.958999883690757,13.639200325775164
-27.0,14.835340001712948,13.34488038208001
-30.0,14.720434285928086,13.088080111999442
-33.0,14.55202061290496,12.890080080719054
-36.0,14.258755342053757,12.780280314178526
-39.0,14.077800178527832,12.698804206188171
-42.0,13.95300006866455,12.628898091949733
-45.0,13.83810627550065,12.59583691274062
-48.0,13.660775451088176,12.568898101371287
-51.0,13.401796116636383,12.55114283203039
-54.0,13.13626446431623,12.53209258754558
-57.0,12.872160352172797,12.51264821963059
-60.0,12.696960462036078,12.49720438814625
-63.0,12.53193644190781,12.481898309389123
-66.0,12.38448896301852,12.466591841377296
-69.0,12.30838424648756,12.44657122987363
-72.0,12.250470345133149,12.424919678954756
-75.0,12.197529063065373,12.40871999481169
-78.0,12.142659770049796,12.3942941883446
-81.0,12.084460269012196,12.382529209669512
-84.0,12.011269430465278,12.366571439292317
-87.0,11.931653717424584,12.349472089491073
-90.0,11.889196119928256,12.341547588892954
-93.0,11.854166810247492,12.335062920053778
-96.0,11.836041645341414,12.33193785051507
-99.0,11.825600051879883,12.325312613149434
-102.0,11.819000244140623,12.316999819138378
-105.0,11.806755069731164,12.30699971442132
-108.0,11.794819780426042,12.299319653015118
-111.0,11.783419748382585,12.295119671325663
-114.0,11.759856926164506,12.280799807739095
-117.0,11.731414925699776,12.261576908156584
-120.0,11.707641423905429,12.22523089143646
-123.0,11.68721999481204,12.189039451162072
-126.0,11.67462004974368,12.15315716377915
-129.0,11.665553398080494,12.120587306175906
-132.0,11.657800387573662,12.087054885725427
-135.0,11.639799975586357,12.027600227910709
-138.0,11.61795985168428,11.962893635294735
-141.0,11.590360135497756,11.883744297104558
-144.0,11.57284627406561,11.824176110000495
-147.0,11.559000015258787,11.77299976348877
-150.0,11.552654042554432,11.730058665335978
-153.0,11.544898280120297,11.68001993377693
-156.0,11.533265616096406,11.613419897155836
-159.0,11.51910422907952,11.567719909362497
-162.0,11.503646754668958,11.53412005584687
-165.0,11.493058738488676,11.553804333007172
-168.0,11.484039234189291,11.584836754773066
-171.0,11.478156753651708,11.628306122032749
-174.0,11.468400045012825,11.63700008392334
-177.0,11.45640034255921,11.63700008392334
-180.0,11.444980320282047,11.647000188640394
-183.0,11.433040245209122,11.659580269164872
-186.0,11.419840057526017,11.678180351562332
-189.0,11.408539907226803,11.68141543516369
-192.0,11.39833978820825,11.675754915212057
-195.0,11.392779876251009,11.672174036209825
-198.0,11.38716317239998,11.6673469121154
-201.0,11.38104057566225,11.659387419579758
-204.0,11.375734636560466,11.652882232358545
-207.0,11.370653326565796,11.647000312805176
-210.0,11.360245061300027,11.642714611865358
-213.0,11.352117652057157,11.638900312042097
-216.0,11.347411541349956,11.635900243377543
-219.0,11.3430597219849,11.632941354709711
-222.0,11.33887730088103,11.630000114440918
-225.0,11.33520410460666,11.62624979257604
-228.0,11.330600134277484,11.622559703674051
-231.0,11.324599996948384,11.618959964599345
-234.0,11.318416525258163,11.615038507337392
-237.0,11.312215479021743,11.611000061035156
-240.0,11.306333541870115,11.605117580497568
-243.0,11.29866706125092,11.599659420685157
-246.0,11.288666956533866,11.595191352156917
-249.0,11.280603833265143,11.588280075378131
-252.0,11.273245070550692,11.580538793146308
-255.0,11.266619962768164,11.5736156637429
-258.0,11.260239262968174,11.568592109950307
-261.0,11.254369819979578,11.567367707379354
-264.0,11.24939224954488,11.564375164509016
-267.0,11.24488222128732,11.5602940083543
-270.0,11.2431173649292,11.553235101666733
-273.0,11.241541325251324,11.54659970703069
-276.0,11.240291420618387,11.54059956970159
-279.0,11.23765278815849,11.534159671631642
-282.0,11.233867641935944,11.527293967101588
-285.0,11.225377401825387,11.516705950921306
-288.0,11.219169938850053,11.506183831891
-291.0,11.216905420018469,11.495775534213452
-294.0,11.21374977588587,11.495200093078893
-297.0,11.210000038146973,11.497094426098888
-300.0,11.206170538439162,11.483509472364528
-303.0,11.201961171430453,11.473399929301296
-306.0,11.197255046642878,11.471399756368353
-309.0,11.193800036620814,11.470094123193896
-312.0,11.190714255686206,11.468489634598903
-315.0,11.186428581437932,11.453183726637542
-318.0,11.181750072332315,11.439764770189791
-321.0,11.176557847593038,11.429176193025292
-324.0,11.171434224482784,11.410879892273806
-327.0,11.166340001785846,11.389333627223468
-330.0,11.159143196751184,11.369333364964032
-333.0,11.15145672911807,11.34874993030817
-336.0,11.14297816105401,11.327403872958396
-339.0,11.135939968260937,11.312353063273264
-342.0,11.129265444405066,11.300000190734863
-345.0,11.121918445096384,11.290204386284271
-348.0,11.114640021667585,11.282204382235296
-351.0,11.107439971313578,11.27730618806852
-354.0,11.10328316303872,11.268367276443904
-357.0,11.099863118953085,11.258411596886187
-360.0,11.095745494773617,11.252529081148614
-363.0,11.088532155055937,11.245326256663516
-366.0,11.075127384261831,11.23614300263397
-369.0,11.067490075157796,11.231444440144031
-372.0,11.06173102926231,11.228110814821196
-375.0,11.057692594810392,11.222081753890484
-378.0,11.053654160358477,11.216511060646482
-381.0,11.049615725906555,11.212043006624016
-384.0,11.044760077516548,11.210530866856455
-387.0,11.039359610597604,11.209773606408916
-390.0,11.037856786744332,11.208075342460049
-393.0,11.035312242507814,11.203764602195337
-396.0,11.029687337875488,11.194941442373176
-399.0,11.02264711923424,11.18680019378662
-402.0,11.015000343322754,11.178999900817873
-405.0,11.012170083346938,11.170428498938236
-408.0,11.009543660312884,11.159939985809617
-411.0,11.007586971996458,11.146140127716354
-414.0,11.00163822819928,11.138640031585236
-417.0,10.994245161081889,11.133808327705763
-420.0,10.988584641130256,11.128063773780696
-423.0,10.982672793935976,11.114433994069168
-426.0,10.976326839853089,11.091792454079531
-429.0,10.970041555828583,11.076957639277223
-432.0,10.963646792815933,11.065296656343795
-435.0,10.953058776635649,11.05251846569914
-438.0,10.943843301848524,11.041708066198716
-441.0,10.93737290984771,11.034833248986756
-444.0,10.931766223726036,11.02904004760785
-447.0,10.926923123760671,11.023451117780104
-450.0,10.925769363945188,11.015215869421173
-453.0,10.92460806276464,11.005959249794994
-456.0,10.923431678853966,10.99493845889049
-459.0,10.918250305652649,10.98552927305522
-462.0,10.91094141963414,10.976583536465508
-465.0,10.909176563276018,10.964083298047838
-468.0,10.907038434158462,10.95674991754305
-471.0,10.90415375952203,10.956173309349053
-474.0,10.90226524136922,10.954212796896297
-477.0,10.901040838798268,10.951153545040802
-480.0,10.901000022888184,10.944807553714869
-483.0,10.89916325632332,10.939823476665756
-486.0,10.89304065958559,10.936882236396965
-489.0,10.885166471269423,10.93299987092314
-492.0,10.876679858705028,10.927734518166377
-495.0,10.87188020660542,10.908754936815637
-498.0,10.86851043836118,10.89305979599012
-501.0,10.867285459536536,10.881659763946663
-504.0,10.861137093995266,10.865019263267952
-507.0,10.853061273075957,10.844489192782085
-510.0,10.838979855385814,10.791836706857469
-513.0,10.825750412573768,10.749271023008651
-516.0,10.813635109218016,10.719895991219428
-519.0,10.799904057260823,10.69769237986702
-522.0,10.785480514782304,10.677836670881904
-525.0,10.770204103972144,10.666203898183507
-528.0,10.75673498106788,10.656431311110648
-531.0,10.746939237626012,10.648784580955908
-534.0,10.73854029327631,10.643780343933033
-537.0,10.730918339176345,10.63832041900605
-540.0,10.728469518782976,10.621520492248235
-543.0,10.72577571233367,10.616775873336044
-546.0,10.722714433030712,10.6277961489928
-549.0,10.71801946092573,10.605571385598028
-552.0,10.712808030598309,10.575035785168604
-555.0,10.7070386136069,10.539400162421064
-558.0,10.700127592037871,10.519260156096426
-561.0,10.690552929678288,10.51986039871117
-564.0,10.681839718017727,10.520000457763672
-567.0,10.67384292655405,10.51933374741482
-570.0,10.671490172811184,10.50933370253635
-573.0,10.668020158843138,10.50254196829203
-576.0,10.66262026412878,10.501292055712398
-579.0,10.65806029876694,10.50505914663914
-582.0,10.653898263286164,10.510041025073884
-585.0,10.650836945851152,10.510652930606884
-588.0,10.647530645411964,10.510657764338555
-591.0,10.643856876696686,10.510000228881836
-594.0,10.639961935568191,10.510000228881836
-597.0,10.63599967956543,10.510000228881836
